name,ra,dec,z,f60_Jy,status,hrl_line,tracer,F_Jykms,sigma_F,SN,W_kms,mask_area_beams,mask_area_arcsec2,rms_chan_mJy,rms10_mJy,rms10_pred_mJy,ir_R90_arcsec,ir_size_source,coverage,best_res_arcsec,est_size_GB,next_step
ESO 173-G015,201.85167,-57.49,0.01003,81.44,candidate,H40a,CS21,,,,,,,,,0.522,,,,0.046,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 239-IG002,342.415,-48.85028,0.04283,7.24,candidate,H30a,CO21,,,,,,,,,0.368,,,,0.055,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 264-G036,160.77917,-46.21194,0.02335,6.07,candidate,H30a,CO21,,,,,,,,,0.514,,,,0.104,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 267-G030,183.5525,-47.22694,0.01849,5.61,candidate,H30a,CO21,,,,,,,,,0.503,,,,0.102,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 286-IG019,314.61417,-42.64917,0.04316,12.19,candidate,H30a,CO21,,,,,,,,,0.357,,,,0.058,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 297-G011/012,24.10292,-37.33222,0.01714,7.77,candidate,H30a,CO21,,,,,,,,,0.633,,,,0.135,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 319-G022,171.98375,-41.61833,0.01635,7.68,candidate,H30a,CO21,,,,,,,,,0.492,,,,0.1,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 320-G030,178.3,-39.13167,0.01078,34.38,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,0.468,,,,0.044,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 323-G077,196.61042,-40.415,0.01493,5.73,candidate,H30a,CO21,,,,,,,,,0.617,,,,0.273,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 350-IG038,9.21667,-33.55528,0.02053,6.88,candidate,H30a,CO21,,,,,,,,,6.077,,,,5.135,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 467-G027,333.6675,-27.46361,0.0175,5.58,candidate,H30a,13CO21+CO21,,,,,,,,,7.951,,,,23.731,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 5-G004,91.40208,-86.63139,0.00603,7.48,candidate,H30a,CO21,,,,,,,,,1.47,,,,1.363,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 507-G070,195.71375,-23.91944,0.0215,13.04,candidate,H30a,CO21,,,,,,,,,0.487,,,,0.098,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 557-G002,97.94292,-17.62083,0.02114,7.42,candidate,H30a,CO21,,,,,,,,,0.497,,,,0.099,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
ESO 602-G025,337.86417,-19.03194,0.02504,5.42,candidate,H30a,CO21,,,,,,,,,7.155,,,,5.03,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IC 0563/4,146.58458,3.05611,0.02047,5.26,candidate,H30a,13CO21+CO21,,,,,,,,,7.466,,,,5.654,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IC 0860,198.75917,24.62083,0.01297,18.61,candidate,H40a,CS21,,,,,,,,,0.449,,,,0.081,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IC 1623A/B,16.94292,-17.50889,0.02011,22.93,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,0.847,,,,0.436,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IC 2545,151.5175,-33.88444,0.03425,9.79,candidate,H30a,CO21,,,,,,,,,7.972,,,,5.11,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IC 4518A/B,224.42958,-43.13361,0.01573,8.07,candidate,H30a,CO21,,,,,,,,,0.732,,,,0.134,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IC 4734,279.61042,-57.49,0.01605,14.04,candidate,H30a,CO21,,,,,,,,,0.96,,,,0.147,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
III Zw 035,26.125,17.10111,0.02754,13.25,candidate,H30a,CO21,,,,,,,,,7.927,,,,5.366,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS 05442+1732,86.79458,17.56222,0.01872,10.02,candidate,H30a,13CO21+CO21,,,,,,,,,7.002,,,,6.435,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS 08355-4944,129.25958,-49.90889,0.0259,9.44,candidate,H30a,CO21,,,,,,,,,0.663,,,,0.104,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS 13120-5453,198.77583,-55.15667,0.03076,41.11,candidate,H30a+H40a,CO21+CS21,,,,,,,,,0.428,,,,0.114,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS 17578-0400,270.13333,-4.01528,0.01324,27.69,candidate,H40a,CS21,,,,,,,,,0.626,,,,0.043,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F01364-1042,24.71917,-10.45417,0.04843,6.62,candidate,H30a,CO21,,,,,,,,,0.454,,,,0.026,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F03359+1523,54.70333,15.54889,0.03519,5.97,candidate,H30a,CO21,,,,,,,,,7.334,,,,5.486,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F05187-1017,80.27625,-10.24583,0.02827,5.39,candidate,H30a,CO21,,,,,,,,,8.152,,,,5.21,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F06076-2139,92.43792,-21.67278,0.03745,6.43,candidate,H30a,CO21,,,,,,,,,7.661,,,,5.304,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F06592-6313,104.91792,-63.29806,0.02296,5.74,candidate,H30a,CO21,,,,,,,,,0.62,,,,0.107,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F10173+0828,155.00042,8.22528,0.04893,5.61,candidate,H30a,CO21,,,,,,,,,7.334,,,,5.64,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F10565+2448,164.8225,24.54389,0.04312,12.1,candidate,H40a,CS21,,,,,,,,,7.529,,,,14.155,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F16164-0746,244.79292,-7.89917,0.02715,10.29,candidate,H30a,CO21,,,,,,,,,0.712,,,,0.105,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F16399-0937,250.66333,-9.71972,0.02701,8.42,candidate,H40a,CS21+HCN10+HCO+10,,,,,,,,,0.691,,,,0.508,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F17138-1017,259.15125,-10.34444,0.01734,15.18,candidate,H30a,CO21,,,,,,,,,0.521,,,,0.113,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
IRAS F22491-1808,342.95417,-17.87417,0.07729,5.54,candidate,H30a,CO21,,,,,,,,,0.561,,,,0.041,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
MCG -01-60-022,355.50917,-3.61333,0.02324,5.39,candidate,H30a,CO21,,,,,,,,,6.269,,,,5.231,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
MCG-03-34-064,200.59792,-16.72611,0.01719,6.2,candidate,H30a,CO21,,,,,,,,,0.887,,,,0.135,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 0034,2.7775,-12.1075,0.01978,17.05,candidate,H30a,13CO21+CO21,,,,,,,,,0.512,,,,0.152,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 0300,13.72042,-37.68583,0.00047,15.3,candidate,H30a,CO21,,,,,,,,,3.297,,,,0.953,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 0628,24.17167,15.79139,0.00218,21.54,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,6.667,,,,21.997,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 0877,34.49708,14.54167,0.01292,11.82,candidate,H40a,HCN10+HCO+10,,,,,,,,,0.778,,,,1.909,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
NGC 1068,40.6725,-0.0125,0.00335,196.37,candidate,H30a+H40a,CO21+CS21+HCN10+HCO+10,,,,,,,,,0.372,,,,0.034,nan,download (~? GB selective-est) → wave onboard → frozen stage 1-4
