name,survey,ra_deg,dec_deg,z,logMstar,logSFR,distance_mpc
NGC6744,PHANGS-ALMA,287.442083,-63.8575,0.002776,10.72,0.38,9.39
IC5273,PHANGS-ALMA,344.86125,-37.702778,0.00429,9.73,-0.27,14.18
NGC7456,PHANGS-ALMA,345.542917,-39.569444,0.003977,9.65,-0.43,15.7
NGC7496,PHANGS-ALMA,347.447083,-43.427778,0.005468,10.0,0.35,18.72
IC5332,PHANGS-ALMA,353.614583,-36.101111,0.002333,9.68,-0.39,9.01
NGC7743,PHANGS-ALMA,356.087917,9.933889,0.005628,10.36,-0.67,20.32
NGC7793,PHANGS-ALMA,359.4575,-32.591111,0.000741,9.36,-0.57,3.62
MaNGA-7815-12705,ALMaQUEST,318.990448,9.543076,0.02955,10.77,0.8,
MaNGA-7977-3703,ALMaQUEST,333.052032,12.205191,0.027817,10.43,0.39,
MaNGA-7977-3704,ALMaQUEST,332.798737,11.800733,0.027245,10.45,-0.59,
MaNGA-7977-9101,ALMaQUEST,331.122894,12.442626,0.026562,11.2,-0.14,
MaNGA-7977-12705,ALMaQUEST,332.892853,11.795929,0.027236,11.02,0.66,
MaNGA-8077-6104,ALMaQUEST,42.032784,-0.752316,0.046014,10.75,0.61,
MaNGA-8077-9101,ALMaQUEST,41.643112,-0.843537,0.043226,10.42,-0.08,
MaNGA-8078-6103,ALMaQUEST,42.416542,-0.069851,0.028593,10.8,0.51,
MaNGA-8078-12701,ALMaQUEST,40.880466,0.306821,0.026977,11.12,0.37,
MaNGA-8081-3704,ALMaQUEST,49.821442,-0.969631,0.054004,10.33,0.91,
MaNGA-8081-6102,ALMaQUEST,49.940136,-0.077189,0.037189,10.95,-1.52,
MaNGA-8081-9101,ALMaQUEST,47.772182,-0.546538,0.02846,10.73,0.41,
MaNGA-8081-9102,ALMaQUEST,49.845692,0.82347,0.034069,10.81,0.17,
MaNGA-8081-12703,ALMaQUEST,50.391369,-0.178368,0.025583,10.51,-0.98,
MaNGA-8082-6103,ALMaQUEST,49.782173,0.955959,0.024157,10.2,0.35,
