name,survey,z,logMstar,logSFR,distance_mpc,hrl_line,strong_line,project_id,mousid,sens_10kms_mJy,ang_res_arcsec,pointing_ra,pointing_dec,predicted_sn_log
NGC5236,PHANGS-ALMA,0.001699,10.53,0.62,4.89,H30a,CO21,2013.1.01161.S,uid://A001/X12f/X32b,14.212416558914232,22.064216729153674,204.253125000002,-29.866111111118748,-1.911
NGC5128,PHANGS-ALMA,0.001833,10.97,0.09,3.69,H30a,CO21,2019.2.00031.S,uid://A001/X14c3/X61b,7.8368507744119285,22.043628832574207,201.36506278998857,-43.01911258000417,-1.938
NGC5248,PHANGS-ALMA,0.003879,10.41,0.36,14.87,H30a,CO21,2017.1.00277.S,uid://A001/X1296/Xdf1,0.9265903549559953,0.2634296093204207,204.38362083333337,8.885061111110002,-1.952
NGC0300,PHANGS-ALMA,0.000519,9.27,-0.82,2.09,H30a,CO21,2013.1.00586.S,uid://A001/X13e/X151,3.363243417579543,0.9542564213998467,13.713125,-37.682861111111116,-1.987
NGC1313,PHANGS-ALMA,0.001505,9.26,-0.14,4.32,H30a,CO21,2015.1.00782.S,uid://A001/X2f7/X221,4.084071648695001,0.38335871633849583,49.62474767774309,-66.4848163383759,-2.022
NGC5128,PHANGS-ALMA,0.001833,10.97,0.09,3.69,H30a,CO21,2013.1.00803.S,uid://A001/X121/X176,9.984469662738455,0.5280959980976344,201.36509458913818,-43.0190738325169,-2.043
NGC1313,PHANGS-ALMA,0.001505,9.26,-0.14,4.32,H30a,CO21,2015.1.00782.S,uid://A001/X2f7/X219,5.21171390855078,0.4804291234640226,49.55992962421526,-66.49829201701772,-2.128
NGC4945,PHANGS-ALMA,0.001866,10.36,0.19,3.47,H30a,CO21,2021.1.00783.S,uid://A001/X1590/X1bfc,17.33218417891961,5.371910175255698,196.36366363945822,-49.467899614124825,-2.13
NGC5128,PHANGS-ALMA,0.001833,10.97,0.09,3.69,H30a,CO21,2013.1.00803.S,uid://A001/X148/X121,12.779023003420258,22.04423455173039,201.36506279,-43.019112580000005,-2.151
NGC5128,PHANGS-ALMA,0.001833,10.97,0.09,3.69,H30a,CO21,2011.0.00008.SV,uid://A002/X259150/X157,13.283133232854624,1.0884605597407213,201.3607187534865,-43.02055291095097,-2.167
NGC3627,PHANGS-ALMA,0.002386,10.84,0.59,11.32,H30a,CO21,2015.1.01538.S,uid://A001/X2fe/X717,5.135392315134847,0.6120633925387619,170.0614153208198,12.994056389663548,-2.228
NGC3627,PHANGS-ALMA,0.002386,10.84,0.59,11.32,H30a,CO21,2015.1.00956.S,uid://A001/X2fb/X291,5.302166251210917,0.810398794483868,170.0640335209024,12.964973865193532,-2.242
NGC1365,PHANGS-ALMA,0.005381,11.0,1.24,19.57,H30a,CO21,2013.1.01161.S,uid://A001/X12f/X317,8.072553201410786,0.6030573188946255,53.40158306823448,-36.140470587751516,-2.25
